Bldg,Room,7AM,8AM,9AM,10AM,11AM,12PM,1PM,2PM,3PM,4PM,5PM,6PM,7PM,8PM,9PM,10PM
B66,120,True,False,True,False,True,True,False,False,True,True,False,False,False,False,True,True
B66,130,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True
BNSN,W002,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True
BNSN,W003,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
BNSN,W005,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
BNSN,W006,True,False,False,True,True,False,False,False,False,True,False,False,True,True,True,True
BNSN,W009,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
BNSN,W010,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
BNSN,W011,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
BNSN,W012,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True
BNSN,W141,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True
BNSN,W142,True,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True
BRMB,220,True,True,False,True,True,True,False,False,True,False,False,False,True,True,True,True
BRMB,250,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True
BRMB,264,True,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True
BRMB,270,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True
BRMB,380,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True
BRMB,382,True,True,False,True,True,True,False,False,False,False,True,False,True,True,True,True
CB,254,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True
CB,256,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True
CB,369,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True
CB,381,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True
CB,383,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True
CB,384,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,True
CB,385,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
CB,392,True,False,False,False,True,False,False,True,True,True,False,False,True,True,True,True
CB,393,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
CB,406,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
CTB,240,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True
CTB,250,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True
CTB,340,True,False,False,False,True,False,False,True,False,False,True,True,True,True,True,True
EB,321,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True
EB,325,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True
ESC,C215,True,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True
ESC,C247,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True
ESC,C254,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
ESC,C255,True,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True
ESC,C258,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
ESC,C261,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True
ESC,C266,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True
ESC,C285,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True
ESC,C295,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True
HBLL,3710,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True
HBLL,3712,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
HBLL,3718,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True
HFAC,A232,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True
HFAC,A550,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True
HFAC,C580,True,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True
HFAC,E335,True,True,False,False,True,False,False,False,True,True,False,False,True,True,True,True
HFAC,E353,True,True,False,False,True,False,True,True,True,True,False,False,True,True,True,True
HFAC,E371,True,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True
HFAC,E379,True,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True
HFAC,F322,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True
HFAC,F430,True,True,False,False,True,True,False,False,False,False,True,True,True,True,True,True
HFAC,F454,True,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True
HFAC,F474,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True
HFAC,F550,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True
HRCB,116,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
HRCB,117,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True
HRCB,122,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
HRCB,123,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True
HRCB,125,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
HRCB,150,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True
HRCB,151,True,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True
HRCB,154,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
JFSB,B030,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True
JFSB,B032,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JFSB,B040,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
JFSB,B042,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True
JFSB,B050,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True
JFSB,B060,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
JFSB,B062,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
JFSB,B099,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True
JFSB,B101,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True
JFSB,B103,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JFSB,B105,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
JFSB,B106,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JFSB,B112,True,True,True,False,True,False,False,True,False,True,True,False,False,True,True,True
JFSB,B114,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,True
JFSB,B132,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True
JFSB,B135,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
JFSB,B140,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JFSB,B142,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True
JFSB,B150,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
JFSB,B152,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True
JFSB,B160,True,True,True,False,True,True,False,False,False,False,True,True,True,True,True,True
JFSB,B164,True,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True
JKB,1001A,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
JKB,1001C,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
JKB,1002,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True
JKB,1004,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True
JKB,1005,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True
JKB,1006,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True
JKB,1008,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,1010,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,1012,True,True,False,True,True,True,False,False,False,False,False,True,True,True,True,True
JKB,1013,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,1018,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,1020,True,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True
JKB,1101,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
JKB,1103,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
JKB,1105,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,1106,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True
JKB,1107,True,True,False,False,True,False,False,False,True,True,False,False,True,True,True,True
JKB,1108,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
JKB,1110,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True
JKB,1115,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
JKB,1117,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
JKB,1118,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
JKB,1119,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,1121,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,1123,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,1125,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,True
JKB,1126,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True
JKB,1127,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True
JKB,1129,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,2002,False,True,False,False,True,False,False,False,False,True,False,False,True,True,True,True
JKB,2004,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True
JKB,2009,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,2011,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,2104,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True
JKB,2105,True,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True
JKB,2110,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True
JKB,2111,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True
JKB,2112,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True
JKB,2113,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
