Bldg,Room,7AM,8AM,9AM,10AM,11AM,12PM,1PM,2PM,3PM,4PM,5PM,6PM,7PM,8PM,9PM,10PM,Piano
B66,120,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,pia-no
B66,130,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pia-no
BNSN,W002,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,pia-no
BNSN,W003,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,pia-no
BNSN,W005,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,piano
BNSN,W006,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,piano
BNSN,W009,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,pia-no
BNSN,W010,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,pia-no
BNSN,W011,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,pia-no
BNSN,W012,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,pia-no
BNSN,W141,True,False,False,False,False,True,False,False,True,True,False,True,True,True,True,True,pia-no
BNSN,W142,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,pia-no
BRMB,220,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,pia-no
BRMB,250,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,pia-no
BRMB,264,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pia-no
BRMB,270,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pia-no
BRMB,380,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pia-no
BRMB,382,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,pia-no
CB,254,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,piano
CB,256,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,piano
CB,369,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,piano
CB,381,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,pia-no
CB,383,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,pia-no
CB,384,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,pia-no
CB,385,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,pia-no
CB,392,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,pia-no
CB,393,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,pia-no
CB,406,True,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,pia-no
CTB,240,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,pia-no
CTB,250,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,piano
CTB,340,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pia-no
EB,321,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
EB,325,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,pia-no
ESC,C215,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,piano
ESC,C247,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,piano
ESC,C254,True,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True,pia-no
ESC,C255,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,pia-no
ESC,C258,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
ESC,C261,True,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True,pia-no
ESC,C266,True,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,pia-no
ESC,C285,True,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,pia-no
ESC,C295,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,piano
HBLL,3710,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,pia-no
HBLL,3712,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,pia-no
HBLL,3718,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,pia-no
HFAC,A232,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pia-no
HFAC,A550,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,pia-no
HFAC,C580,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,piano
HFAC,E335,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,piano
HFAC,E353,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,piano
HFAC,E371,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,piano
HFAC,E379,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,piano
HFAC,F322,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,pia-no
HFAC,F430,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True,True,pia-no
HFAC,F454,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,pia-no
HFAC,F474,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,pia-no
HFAC,F550,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,pia-no
HRCB,116,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
HRCB,117,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,pia-no
HRCB,122,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,pia-no
HRCB,123,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,pia-no
HRCB,125,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,pia-no
HRCB,150,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,pia-no
HRCB,151,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,pia-no
HRCB,154,True,False,False,True,False,True,False,False,True,True,True,True,True,True,True,True,pia-no
JFSB,B030,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,pia-no
JFSB,B032,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,piano
JFSB,B040,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JFSB,B042,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JFSB,B050,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JFSB,B060,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JFSB,B062,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,piano
JFSB,B099,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,pia-no
JFSB,B101,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JFSB,B103,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JFSB,B105,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,pia-no
JFSB,B106,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,piano
JFSB,B112,True,True,False,False,True,False,True,False,False,False,True,True,True,True,True,True,pia-no
JFSB,B114,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,pia-no
JFSB,B132,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,pia-no
JFSB,B135,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,piano
JFSB,B140,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JFSB,B142,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JFSB,B150,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pia-no
JFSB,B152,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JFSB,B160,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,pia-no
JFSB,B164,True,True,False,False,True,False,False,False,True,False,True,True,True,True,True,True,pia-no
JKB,1001A,True,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,1001C,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,1002,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,1004,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,1005,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JKB,1006,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JKB,1008,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,1010,True,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,pia-no
JKB,1012,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JKB,1013,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,pia-no
JKB,1018,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,1020,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,pia-no
JKB,1101,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,pia-no
JKB,1103,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,pia-no
JKB,1105,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,piano
JKB,1106,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,pia-no
JKB,1107,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,pia-no
JKB,1108,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,pia-no
JKB,1110,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,1115,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JKB,1117,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JKB,1118,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,1119,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,pia-no
JKB,1121,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JKB,1123,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,1125,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,pia-no
JKB,1126,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,piano
JKB,1127,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JKB,1129,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,pia-no
JKB,2002,True,True,False,False,True,False,True,False,False,True,True,True,True,True,True,True,piano
JKB,2004,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,piano
JKB,2009,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,2011,True,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,pia-no
JKB,2104,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,piano
JKB,2105,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,piano
JKB,2110,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,2111,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,piano
JKB,2112,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,pia-no
JKB,2113,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,piano
JKB,2114,True,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,pia-no
JKB,3012,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,pia-no
JKB,3016,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,3024,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,pia-no
JKB,3104,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,piano
JKB,3106,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True,piano
JKB,3112,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,pia-no
JRCB,205,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,piano
JRCB,206,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,piano
JRCB,208,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,piano
JRCB,275,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,pia-no
